"EAM103"	"EAM105"	"EAM109"	"EAM111"	"EAM115"	"EAM119"	"EAM121"	"EAM131"	"EAM139"	"EAM145"	"EAM152"	"EAM238"	"EAM270"	"EAM159"	"EAM163"	"EAM171"	"EAM183"	"EAM184"	"EAM186"	"EAM189"	"EAM191"	"EAM192"	"EAM198"	"EAM202"	"EAM209"	"EAM221"	"EAM223"	"EAM224"	"EAM225"	"EAM226"	"EAM227"	"EAM234"	"EAM235"	"EAM236"	"EAM241"	"EAM242"	"EAM243"	"EAM245"	"EAM249"	"EAM254"	"EAM257"	"EAM258"	"EAM259"	"EAM273"	"EAM288"	"EAM293"	"EAM297"	"EAM301"	"EAM304"	"EAM306"	"EAM307"	"EAM308"	"EAM309"	"EAM310"	"EAM247"	"EAM251"	"EAM253"	"EAM275"	"EAM246"	"EAM250"	"EAM252"	"EAM305"	"EAM303"	"EAM300"	"EAM299"	"EAM298"	"EAM296"	"EAM295"	"EAM292"	"EAM112"	"EAM116"	"EAM120"	"EAM122"	"EAM132"	"EAM140"	"PTG20210_1"	"MRC677_1"	"FVR506_1"	"EAM104_1"	"EAM106_1"	"EAM110_1"	"EAM1101_1"	"EAM1102_1"	"EAM1103_1"	"EAM1104_1"	"EAM146_1"	"emc130_1"	"emc115_1"	"EAM148_1"	"EAM138_1"	"EAM134_1"	"EAM395_1"	"EAM149I_1"	"EAM150I_1"	"EAM282"	"EAM281"	"EAM280"	"EAM279"	"EAM278"	"EAM277"	"EAM276"	"EAM272"	"EAM271"	"EAM268"	"EAM264"	"EAM263"	"EAM262"	"EAM261"	"EAM260"	"EAM256"	"EAM255"	"EAM248"	"EAM244"	"EAM240"	"EAM237"	"EAM233"	"EAM232"	"EAM231"	"EAM230"	"EAM229"	"EAM228"	"EAM222"	"EAM220"	"EAM219"	"EAM218"	"EAM217"	"EAM216"	"EAM215"	"EAM214"	"EAM212"	"EAM211"	"EAM210"	"EAM208"	"EAM207"	"EAM206"	"EAM205"	"EAM203"	"EAM200"	"EAM195"	"EAM194"	"EAM193"	"EAM190"	"EAM187"	"EAM185"	"EAM181"	"EAM179"	"EAM177"	"EAM175"	"EAM168"	"EAM161"	"EAM160"	"EAM155"	"EAM153"	"EAM147"	"EAM137"	"EAM133"	"EAM311"	"EAM312"	"EAM313"	"EAM314"	"EAM315"	"EAM316"	"EAM317"	"EAM318"	"EAM319"	"EAM320"	"EAM321"	"EAM291"	"EAM290"	"PTG20210_2"	"MRC677_2"	"FVR506_2"	"EAM104_2"	"EAM106_2"	"EAM110_2"	"EAM1101_2"	"EAM1102_2"	"EAM1103_2"	"EAM1104_2"	"EAM146_2"	"emc130_2"	"emc115_2"	"EAM148_2"	"EAM138_2"	"EAM134_2"	"EAM395_2"	"EAM149I_2"	"EAM150I_2"	"EAM322"	"EAM323"	"EAM324"	"EAM325"	"EAM326"	"EAM327"	"EAM328"	"EAM329"	"EAM330"	"EAM331"	"EAM332"	"EAM333"	"EAM334"	"EAM335"	"EAM336"	"EAM337"	"EAM338"	"EAM339"	"EAM340"	"EAM341"	"EAM342"	"EAM343"	"EAM344"	"EAM345"	"EAM346"	"EAM347"	"EAM348"	"EAM349"	"EAM350"	"EAM351"	"EAM352"	"EAM353"	"EAM354"	"EAM355"	"EAM356"	"EAM357"	"EAM358"	"EAM359"	"EAM360"	"EAM361"	"EAM362"	"EAM363"	"EAM364"	"EAM365"	"EAM366"	"EAM367"	"EAM368"	"EAM369"	"EAM370"	"EAM371"	"EAM372"	"EAM373"	"EAM374"	"EAM375"	"EAM376"	"EAM377"	"EAM378"	"EAM379"	"EAM380"	"EAM381"	"EAM382"	"EAM383"	"EAM384"	"EAM385"	"EAM386"	"EAM387"	"EAM388"	"EAM389"	"EAM390"	"EAM391"	"EAM392"	"EAM393"	"emc139"	"EAM289"	"EAM283"	"PTG20210_3"	"MRC677_3"	"FVR506_3"	"EAM104_3"	"EAM106_3"	"EAM110_3"	"EAM1101_3"	"EAM1102_3"	"EAM1103_3"	"EAM1104_3"	"EAM146_3"	"emc130_3"	"emc115_3"	"EAM148_3"	"EAM138_3"	"EAM134_3"	"EAM395_3"	"EAM149I_3"	"EAM150I_3"	"Class"
"23"	0	8.38801728534514	9.19105921453166	9.08081752760833	10.3219280948874	10.5612879451648	0	9.0741414627525	9.3037807481771	11.0216740428584	0	0	8.04984854945056	0	8.86727873970966	0	7.36632221424582	0	8.99717948093762	8	0	0	0	0	7.48381577726426	0	8.77313920671969	8.87344411251538	0	7.85174904141606	0	7.71080643369935	0	8.6724253419715	7.25266543245025	0	0	8.17492568250068	0	0	7.54689445988764	0	0	0	0	0	8.8073549220576	0	10.3219280948874	0	0	0	0	0	0	0	0	0	0	10.4883422775325	0	10.5294305541462	8.12928301694497	0	0	10.9307373375629	9.48482289426215	0	0	0	0	0	0	0	0	10.1247675358225	9.69435788722145	11.9222127177854	0	0	0	0	0	0	0	0	10.3652288492515	12.0447356260569	0	0	0	12.2794654917940	0	0	7.79766152585376	0	0	10.8221724614762	0	0	0	9.93073733756289	8.3987436919382	10.8097681287104	10.1163439612375	9.36194377373524	9.35974956032233	9.4241662888181	9.40514146313634	0	8.283088353024	0	11.2309210881379	9.4262647547021	9.38694024532431	0	10.4737057496194	0	0	0	8.18487534290828	9.39660478118186	0	0	0	0	0	0	8.29462074889163	9.37937836707126	0	9.19475685442225	8.89784545600551	0	0	0	7.65105169117893	0	0	0	9.72877084954266	8.20945336562895	7.68650052718322	7.45532722030456	9.48683502156305	0	0	9.467605550083	0	7.76818432477693	8.30149619498255	0	10.4963544885646	10.1459321458205	0	0	0	0	0	8.07681559705083	0	0	0	0	0	0	9.66622400280318	0	0	10.1427452767515	9.67419226814568	11.8933015308606	0	0	0	0	0	0	0	0	10.3179778224071	12.0119260663068	0	0	0	12.1907506496624	0	0	9.7657004876511	7.4178525148859	7.89784545600551	10.1623913287569	7.77478705960117	0	0	7.31741261376487	9.55458885167764	8.06877827798541	0	0	0	0	0	8.26912667914942	0	0	0	9.18239435340453	7.78463484555752	0	0	0	0	0	8.16992500144231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11374216604919	0	7.25266543245025	0	0	0	0	0	0	0	7.65105169117893	0	0	8.92481250360578	0	0	0	0	0	0	0	0	0	0	8.02236781302845	0	0	0	0	10.0430272835945	9.5708044377245	11.8173834278972	0	0	0	0	0	0	0	0	10.2957689344205	12.0525680508042	0	0	0	12.1567151442247	0	0	2
"82"	0	10.6934869574993	0	9.91587937883577	11.2972028824969	11.3761253892762	8.63299519714296	9.3037807481771	9.96072599483906	11.4225904338926	0	0	9.54303182025524	9.88874324889826	8.63662462054365	0	7.8073549220576	8.52160043972373	8.8856963733394	9.52845411076479	0	7.56985560833095	0	0	0	0	9.40194612397654	8.77807712953536	0	7.7176764230664	0	8.2336196767597	0	9.38154295118458	0	0	7.56224242422107	0	7.7515440590891	0	9.9729797860663	9.2336196767597	0	0	10.5245417150358	0	10.3376219019925	0	10.3901689562002	0	0	0	0	0	0	0	0	0	0	0	0	10.8221724614762	9.6375305515253	7.33091687811462	7.69348695749933	0	0	0	0	0	0	0	0	0	0	10.2714630279044	9.677719641641	12.1160189933251	0	0	0	0	0	0	0	0	11.0306671362469	12.1611318829843	0	0	0	12.344434621924	0	0	8.43879185257826	0	0	11.5247865508516	0	7.56224242422107	0	10.8233672400462	10.0070272668940	11.8386130441970	10.8610869059954	10.9957671508778	9.95274124718649	10.3613955331659	10.3933904574440	0	7.59991284218713	0	11.7784878612224	9.39660478118186	10.1817734388088	0	0	0	0	0	8.14210705730255	9.40194612397654	0	0	0	0	0	0	0	9.98797452429615	0	9.69609817095586	10.8634119589416	0	0	7.467605550083	8.7944158663501	0	0	0	11.1592406504117	11.3331553503106	7.92777796208234	7.97154355395077	10.3174126137649	7.29001884693262	0	9.99788512782911	0	0	10.1885888457073	0	11.1289609508557	10.7030383889864	0	0	8.56224242422107	0	0	8.01959072835788	0	0	0	0	0	0	10.0382331347318	0	0	10.2685420003001	9.75655632252409	12.2076244682268	0	0	0	0	0	0	0	0	11.0430272835945	12.1586096882145	0	0	0	12.4260026133294	0	0	10.5240519187178	8.13185696060879	8.64745842645492	11.1363503414542	8.59618975614441	0	0	7.76818432477693	10.7176764230664	9.7279204545632	0	7.2667865406949	7.73131903102506	8.6724253419715	0	8.36194377373524	0	7.73809225962049	0	9.35093918154643	9.18982455888002	7.54689445988764	0	0	0	0	8.57175264350355	0	0	0	0	0	0	7.70735913208088	0	0	0	0	0	0	7.85486838326024	7.74483383749955	0	0	8.08746284125034	0	8.69348695749932	0	7.4594316186373	7.7515440590891	0	0	0	0	0	0	0	0	0	8.4898479604393	0	0	0	0	0	0	0	0	0	0	8.69348695749932	0	0	0	0	10.4072677642447	9.65105169117893	12.1905963424756	0	0	0	0	0	0	0	0	11.0877943047879	12.1995189889988	0	0	0	12.4058062689363	0	0	7
"83"	0	9.48280795672667	0	9.23601419190008	10.0471239121140	10.8818787076004	7.31288295528436	8.01122725542325	9.0251395622785	11.2419831496943	0	0	8.61102479730735	8.65105169117893	8.09803208296053	0	7.37937836707126	7.3264294871223	8.09803208296053	8.7515440590891	0	0	0	0	0	0	8.36413465500805	7.4594316186373	0	8.34651373316563	0	9.00281501560705	0	8.11374216604919	0	0	8.21916852046216	0	0	0	8.33985000288462	0	0	0	9.40620500541885	0	9.18487534290828	0	9.1318569606088	0	0	0	0	0	0	0	0	7.8703647195834	0	0	0	9.89330153086056	9.32305476034165	0	0	0	0	0	0	0	0	0	0	0	0	10.0973737689902	9.71252700043982	11.8649599151426	0	0	0	0	0	0	0	0	10.2573878426927	11.7607199474656	0	0	0	12.0613711926598	0	0	8.88722061546838	0	0	11.1389117181427	0	0	0	10.0927571409199	9.00562454919388	11.0285967770671	11.3325960577892	9.67948009950545	10.1972166931101	10.2796105810525	10.0741414627525	0	9	0	12.4551987695151	8.38801728534514	9.05934446082443	0	0	0	0	0	8.4797802640291	8.62570884306447	0	0	0	0	0	0	0	8.68825030913318	0	8.9351650496037	9.7262181593322	0	0	0	9.29347164883813	0	0	0	11.0569763361782	10.5343028824546	0	0	9.33315535031062	0	0	9.02236781302845	0	0	8.51963625284321	0	10.7342862320963	10.9740560226256	0	0	7.27612440527424	0	0	7.64385618977472	0	0	0	0	0	0	8.7714894695006	0	0	10.0940776856719	9.7004397181411	11.9480021309777	0	0	0	0	0	0	0	0	10.4231159101471	11.8439210512890	0	0	0	12.1062357616157	0	0	9.5372184005386	7.55458885167764	0	11.2538474849874	7.81378119121704	0	0	0	10.0416591516372	8.68999797141945	7.64024493622235	0	0	8.13442632022093	0	7.53138146051631	0	7.4998458870832	0	8.467605550083	9.38370429247405	0	0	0	0	0	8.11374216604919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6582114827518	0	8.4178525148859	0	0	0	0	0	0	0	0	0	0	0	0	7.876516946565	0	0	0	7.61470984411521	0	0	0	0	0	0	0	0	0	0	0	10.0848083878044	9.70649601806119	11.9008668079807	0	0	0	0	0	0	0	0	10.3992779245090	11.8521393281872	0	0	0	12.1565571532000	0	0	7
"84"	0	9.32867492732795	0	0	9.09803208296053	7.50382573799575	7.48381577726426	9.11113567023471	9.72451385311995	10.0986900966736	0	0	7.6724253419715	8.14974711950468	0	0	0	8.29691620687929	9.13699111208023	9.03066713624694	0	0	0	0	0	0	7.91288933622996	9.2240016741981	0	7.71080643369935	0	7.58871463558226	0	9.40514146313634	0	0	9.211888294546	0	0	0	0	0	0	0	8.94836723158468	0	8.90086680798075	0	8.30149619498255	0	0	0	0	0	0	0	0	0	0	0	0	8.38801728534514	8.59058704991503	0	0	0	10.0980320829605	0	0	0	0	0	0	0	0	9.94397991434374	9.53818893205242	11.7159619902551	0	0	0	0	0	0	0	0	9.36413465500805	11.7513348364013	0	0	0	10.7270695580237	0	0	7.54689445988764	0	0	7.4594316186373	0	0	0	9.39446269461032	7.3037807481771	8.04984854945056	9.39231742277876	7.76818432477693	8.09803208296053	8.467605550083	8.05528243550119	0	0	0	9.6165488437790	9.9936460600166	10.1586096882145	0	0	0	0	0	7.73470962022584	7.73470962022584	0	0	0	0	0	0	0	0	0	0	8.3151495622563	0	0	0	8.10852445677817	0	0	0	9.02652344251977	10.2667865406949	0	0	7.5274770060604	0	0	0	0	0	0	0	9.72024425828757	8.4757334309664	0	0	0	0	0	0	0	0	0	0	0	0	7.82336724004623	0	0	9.97154355395077	9.75321674917896	11.9091430473399	0	0	0	0	0	0	0	0	9.48079020109582	11.8719052376592	0	0	0	10.8818787076004	0	0	8.1395513523988	0	7.38370429247405	9.2336196767597	7.31288295528436	0	0	7.36632221424582	8.69696752623429	7.46352437327118	0	0	0	7.25266543245025	0	0	0	7.38801728534513	0	9.63843591399047	8.283088353024	0	0	0	0	0	7.82017896241519	0	0	0	0	0	0	7.25738784269265	0	0	0	0	0	0	0	0	0	0	7.27612440527424	0	7.4594316186373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.82097669262124	9.47269083924278	11.5553081014013	0	0	0	0	0	0	0	0	9.34651373316563	11.7870863245516	0	0	0	10.6266216523584	0	0	7
"114"	0	9.49884920653172	0	8.89784545600551	9.9957671508778	11.4589192069676	7.6582114827518	8.02513956227851	9.77396336843356	10.6921795763125	0	0	10.9270371687203	8.28771237954945	9.4655664048094	0	0	0	8.23840473932508	8.37068740680722	0	8.41574176829009	0	0	7.32192809488736	0	8.16490692667569	7.91587937883577	0	9.10983065427879	0	8.50382573799575	0	8.98868468677217	0	7.52356195605701	0	0	0	0	0	0	0	0	8.15734693536284	0	9.08746284125034	0	9.41151098801207	0	0	0	0	0	0	0	0	7.59618975614441	0	7.40087943628218	0	9.25502856981873	8.43254190038826	0	7.81698362325538	7.29001884693262	0	0	0	0	0	0	0	0	0	10.2143191208008	9.80251636512122	12.1276719670390	0	0	0	0	0	0	0	0	11.1286388128526	12.0993478104032	0	0	0	12.2859801059282	0	0	8.71252700043982	0	0	11.5367328898354	0	0	7.91587937883577	11.9469062744564	11.1286388128526	11.6350378711833	10.5318687751776	9.68999797141945	9.6275338844728	9.56510207836031	9.5372184005386	0	9.25029841790633	0	12.1858046151085	8.44294349584873	9.71252700043982	7.4093909361377	0	0	0	0	8.73978060977326	8.97727992349992	0	0	0	0	0	0	0	10.8293263358417	0	10.7120970510875	9.52552080909507	0	0	0	8.15987133677839	0	0	0	10.4563544151083	9.41256984680521	7.31741261376487	7.49185309632967	9.05528243550119	0	0	8.07948478382682	0	7.88264304936184	8.66533591718518	0	9.99435343685886	10.2094533656289	0	0	7.73470962022584	0	0	9.58590144969077	0	0	0	0	0	0	8.1548181090521	0	0	10.1592406504117	9.71853287606922	12.0716299521532	0	0	0	0	0	0	0	0	11.1019756709492	12.079318104254	0	0	0	12.2994942390094	0	0	8.54303182025524	0	7.37937836707126	10.5225815312548	7.88264304936184	0	0	0	11.7879025593914	9.5274770060604	0	0	7.59991284218713	7.53915881110803	0	7.4093909361377	0	0	0	8.5352753766208	7.98868468677217	7.7944158663501	0	0	0	0	7.49185309632967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.02513956227851	0	0	7.60733031374961	0	0	0	0	0	0	0	0	0	8.60177078840771	0	0	0	0	0	0	0	0	0	0	7.36632221424582	0	0	0	0	10.1189410727235	9.72109918870719	12.0808175276083	0	0	0	0	0	0	0	0	11.0423433797937	12.0610336016811	0	0	0	12.2070143201775	0	0	9
"115"	0	8.17741953798924	0	7.91587937883577	9.21795769786411	10.3140167039014	0	0	9.4241662888181	9.1611318829843	0	0	0	0	10.0808175276083	0	0	0	7.49185309632967	0	0	7.60733031374961	0	0	8.75822321472672	0	7.37503943134692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00562454919388	0	0	0	8.35314682549808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.07948478382682	0	0	0	8.319672120947	0	0	0	0	0	0	0	0	10.2969162068793	9.66799853567253	12.2021238238305	0	0	0	0	0	0	0	0	10.1369911120802	11.9299980626090	0	0	0	11.4865836590673	0	0	0	0	0	10.4460494067166	0	0	0	8.42206476617281	0	10.6640027628865	9.44501484586842	8.36632221424582	8.87190523765919	8.6036263449862	9.03066713624694	0	7.93663793900257	0	11.3633134643735	0	7.70043971814109	0	0	0	0	0	7.2667865406949	7.90689059560852	0	0	0	0	0	0	0	8.62570884306447	0	8.73301532168596	0	0	0	0	0	0	0	0	8.19475685442225	0	0	0	7.59991284218713	0	0	7.53138146051631	0	0	7.68650052718322	0	8.65463602852797	8.24317398347295	0	0	0	0	0	8.3037807481771	0	0	0	0	0	0	0	0	0	10.1567151442247	9.66711154207503	12.1223427018589	0	0	0	0	0	0	0	0	10.0714623625566	11.8792003179474	0	0	0	11.4351493383669	0	0	0	0	0	9.81217730551445	7.48381577726426	0	0	0	8.27146302790437	7.64385618977472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.25738784269265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2264121927888	9.69870466677034	12.1142303601910	0	0	0	0	0	0	0	0	10.0216740428584	11.8870301732477	0	0	0	11.4429434958487	0	0	9
"116"	0	0	0	0	7.88264304936184	8.42206476617281	0	0	8.78299820892041	7.74819284958946	0	0	0	0	8.39446269461032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.53138146051631	0	0	0	0	0	0	0	0	0	7.9915218460757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78790255939143	0	0	0	0	9.29117069932186	0	0	0	0	0	0	0	0	10.1579784499454	9.71510400923617	12.1460913046315	0	0	0	0	0	0	0	0	9.17741953798924	11.5512276035983	0	0	0	10.4475998582800	0	0	0	0	0	8.6036263449862	0	0	0	7.93073733756289	0	8.49785183695112	8.37068740680722	7.85486838326024	7.53915881110803	8.0389189892923	8.32192809488736	0	0	0	11.1758613835653	0	7.58871463558226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.53915881110803	0	0	0	0	0	0	0	8.11374216604919	0	0	0	0	0	0	8.82017896241519	0	0	0	0	7.8610869059954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2514824106202	9.70908381255034	12.2093010460341	0	0	0	0	0	0	0	0	9.33539035469392	11.6084858564953	0	0	0	10.4958550268872	0	0	7.55458885167764	0	0	9.1279943209764	0	0	0	0	8.09275714091985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.45121111183233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4419067045422	9.82097669262124	12.2894425756883	0	0	0	0	0	0	0	0	9.49385544924082	11.6816776552097	0	0	0	10.6786001390995	0	0	9
"117"	0	9.78871833269046	0	8.27379559921426	9.67419226814568	11.4625022725973	0	7.62205181945638	9.17242750864548	11.3561768305164	0	0	8.2807707701306	8.09539702279256	9.2215871212648	0	0	7.71080643369935	0	0	0	0	0	0	8.02236781302845	0	8.24079133216196	0	0	7.8073549220576	0	0	0	7.62935662007961	0	0	0	0	0	0	0	0	0	0	0	0	8.84705734609134	0	7.93663793900257	0	0	0	0	0	0	0	0	8.48381577726426	0	0	0	7.61102479730735	7.64385618977472	0	8.5018371849023	0	0	0	0	0	0	0	0	0	0	9.9136374280491	9.7176764230664	11.8417608868005	0	0	0	0	0	0	0	0	10.4252159032994	11.8324944843361	0	0	0	11.8350634920051	0	0	7.40514146313634	0	0	11.7138160802345	0	0	0	9.44811630540946	8.78463484555752	11.7317432907078	10.6456584324087	8.8610869059954	9.2045711442492	9.47775826644389	9.24436383512051	0	9.45224124043082	0	10.1273495410591	0	8.4757334309664	0	0	0	0	0	8.12412131182919	9.01402047031493	0	0	0	0	0	0	8.33091687811462	8.84862294042934	0	8.94836723158468	8.64745842645492	0	0	0	0	0	0	0	9.84156434773057	0	0	0	8.36413465500805	0	0	8.10852445677817	0	0	8.07681559705083	0	10.5779008368870	11.3373431472740	0	0	0	0	0	8.77807712953536	0	0	0	0	0	0	0	0	0	10	9.75822321472672	11.8501868376458	0	0	0	0	0	0	0	0	10.4527560290325	11.8261512148002	0	0	0	11.8509681509824	0	0	0	7.66888498426625	0	10.7846348455575	7.59991284218713	0	0	0	9.9395792143147	8.98441845880114	0	0	0	7.88874324889826	0	0	0	7.45121111183233	0	0	0	7.25266543245025	0	0	0	0	8.07948478382682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.16992500144231	0	0	8.12670447284319	0	0	0	0	0	0	0	0	7.36632221424582	7.85798099512757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1959872980285	9.70303838898642	12.0119260663068	0	0	0	0	0	0	0	0	10.5107641679179	11.9151324489507	0	0	0	12.0129736483745	0	0	9
"118"	0	7.82654848729092	0	0	7.46352437327118	8.17492568250068	0	0	8.6724253419715	8.90388184573618	0	0	0	0	7.41362792902417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.12670447284319	0	0	0	0	0	0	10.1996723448364	0	0	0	0	0	0	0	0	0	8.01680828768655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.876516946565	0	0	0	10.1598713367784	0	0	0	0	0	0	0	0	10.1491119907069	9.63117705570398	11.9314762338868	0	0	0	0	0	0	0	0	9.27844945822048	11.2813505149810	0	0	0	10.5660540381711	0	0	7.3037807481771	0	0	8.79116288855502	0	0	0	7.63662462054365	0	9.25738784269265	8.70735913208088	7.45121111183233	7.7944158663501	8.12670447284319	8.36413465500805	0	0	0	10.6397928932793	0	0	0	0	0	0	0	7.64385618977472	0	0	0	0	0	0	0	0	9.41362792902417	0	8.54303182025524	0	0	0	0	0	0	0	0	8.13185696060879	0	0	0	0	0	0	0	0	0	0	0	8.33091687811462	8.467605550083	0	0	0	0	0	7.4757334309664	0	0	0	0	0	0	0	0	0	10.1221809012598	9.7270695580237	11.9740560226256	0	0	0	0	0	0	0	0	9.35865120089289	11.2508905357233	0	0	0	10.5684311931675	0	0	0	0	0	9.21916852046216	0	0	0	0	7.97727992349992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.25266543245025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3525952311343	9.6375305515253	11.9601829818319	0	0	0	0	0	0	0	0	9.46352437327118	11.2994942390094	0	0	0	10.6595499968799	0	0	9
"119"	0	7.84862294042934	0	7.90989308377004	8.60177078840771	10.2573878426927	0	0	9.68999797141945	10.3498340914572	0	0	0	0	9.30720080914081	0	0	0	0	0	0	0	0	0	8.10852445677817	0	0	0	0	8.63843591399047	0	8.29691620687929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.77807712953536	0	7.48381577726426	0	0	0	0	0	0	0	0	0	0	0	0	7.96578428466209	8.52160043972373	0	0	0	10.2632692003727	0	0	0	0	0	0	0	0	10.2233984147116	9.70908381255034	12.0171563863831	0	0	0	0	0	0	0	0	9.32080054888164	11.6114859432409	0	0	0	10.9336906549522	0	0	8.27146302790437	0	0	10.3998119593257	0	0	0	8.32192809488736	0	10.2384047393251	9.71080643369935	8.59245703726808	8.64385618977473	9.22761594341422	9.36632221424582	0	7.87958324961278	0	11.3600240195719	0	0	0	0	0	0	0	8.29920801838728	7.85798099512757	0	0	0	0	0	0	0	9.28886607416582	0	8.78463484555752	8.01122725542325	0	0	0	0	0	0	0	8.95564990752837	0	0	0	8.43671154213721	0	0	7.3264294871223	0	0	8.3264294871223	0	9.8049376720519	9.45121111183233	0	0	0	0	0	8.32418054661874	0	0	0	0	0	0	0	0	0	10.2137117981057	9.65194861072345	12.0392617943411	0	0	0	0	0	0	0	0	9.36741475124683	11.6626683755175	0	0	0	10.9395792143147	0	0	7.72451385311995	0	0	9.92925840863697	0	0	0	0	8.64925617751731	7.63662462054365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.56224242422107	0	0	8.35093918154643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1636496760158	9.65910396347366	11.8927325326119	0	0	0	0	0	0	0	0	9.2644426002266	11.6352646565395	0	0	0	10.8572034715082	0	0	9
